[it 0127] step=130048 | EpRew=0.5 EpCost=0.0 | Vr=0.006 Vc=0.006 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=7.2m
[it 0128] step=131072 | EpRew=-1.1 EpCost=0.0 | Vr=0.005 Vc=0.009 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=7.2m
[it 0129] step=132096 | EpRew=-1.1 EpCost=0.0 | Vr=0.003 Vc=0.006 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=7.3m
[it 0130] step=133120 | EpRew=0.4 EpCost=0.0 | Vr=0.004 Vc=0.009 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=7.4m
[it 0131] step=134144 | EpRew=-1.3 EpCost=223.0 | Vr=0.004 Vc=28.174 | PiLoss=0.034 Track=0.034 MeanRatio=1.000 LB%=0.0% | time=7.4m
[it 0132] step=135168 | EpRew=1.7 EpCost=0.0 | Vr=0.012 Vc=0.011 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=7.5m
[it 0133] step=136192 | EpRew=-2.5 EpCost=137.0 | Vr=0.004 Vc=16.481 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=7.5m
[it 0134] step=137216 | EpRew=1.3 EpCost=202.0 | Vr=0.009 Vc=25.368 | PiLoss=0.032 Track=0.032 MeanRatio=1.000 LB%=0.0% | time=7.6m
[it 0135] step=138240 | EpRew=-2.4 EpCost=0.0 | Vr=0.005 Vc=0.009 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=7.6m
[it 0136] step=139264 | EpRew=-1.6 EpCost=0.0 | Vr=0.005 Vc=0.008 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=7.7m
[it 0137] step=140288 | EpRew=-1.5 EpCost=0.0 | Vr=0.004 Vc=0.008 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=7.7m
[it 0138] step=141312 | EpRew=-0.8 EpCost=0.0 | Vr=0.006 Vc=0.010 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=7.8m
[it 0139] step=142336 | EpRew=0.6 EpCost=0.0 | Vr=0.008 Vc=0.009 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=7.8m
[it 0140] step=143360 | EpRew=-0.5 EpCost=0.0 | Vr=0.003 Vc=0.009 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=7.9m
[it 0141] step=144384 | EpRew=-1.6 EpCost=0.0 | Vr=0.004 Vc=0.006 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=8.0m
[it 0142] step=145408 | EpRew=-2.1 EpCost=0.0 | Vr=0.004 Vc=0.005 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=8.0m
[it 0143] step=146432 | EpRew=-0.0 EpCost=0.0 | Vr=0.004 Vc=0.007 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=8.1m
